NCESSchool,SchoolName,StreetAddr,City,State,ZipCode,Zip_4,Enrollment,Telephone,Locale,LocaleDesc,MSA_Cat,SchoolType,TypeDesc,SchoolLeve,LevelDesc,LowestGrad,HighestGra
560000100047,WYOMING SCHOOL FOR THE DEAF,539 S PAYNE AVE,CASPER,WY,82609,2649,100.0,3075774686,N,Unknown,Non-MSA,2,Special Ed,4,Other,N,N
560000300534,WYOMING GIRL'S SCHOOL,P.O. BOX 868,SHERIDAN,WY,82801,868,54.0,3076747476,6,Town,Non-MSA,4,Voc/Tech/Other,3,High,07,12
560000400538,WYOMING BOY'S SCHOOLS,1550 HIGHWAY 20 S,WORLAND,WY,82401,9802,70.0,3073476144,7,Rural,Non-MSA,4,Voc/Tech/Other,3,High,07,12
560000500075,WYOMING STATE HOSPITAL,PO BOX 117,EVANSTON,WY,82931,177,100.0,3077893464,N,Unknown,Non-MSA,4,Voc/Tech/Other,4,Other,N,N
560000900145,CATHEDRAL HOME FOR CHILDREN,PO BOX 520,LARAMIE,WY,82073,520,100.0,3077458997,5,Town,Non-MSA,4,Voc/Tech/Other,4,Other,00,00
560001000156,ST. JOSEPH'S CHILDREN'S HOME,PO BOX 1117,TORRINGTON,WY,82240,1117,46.0,3075324197,6,Town,Non-MSA,4,Voc/Tech/Other,4,Other,01,12
560001100166,YOUTH EMERGENCY SERVICES EDUCA,706 E. LONGMONT,GILLETTE,WY,82716,2927,7.0,3076860669,6,Town,Non-MSA,4,Voc/Tech/Other,4,Other,05,12
560001200170,FRONTIER CORRECTIONAL SYSTEMS,PO BOX 693,CHEYENNE,WY,82003,693,56.0,3076323682,2,Central City,Within MSA,4,Voc/Tech/Other,4,Other,06,12
560073000001,LARAMIE HIGH SCHOOL,1275 NORTH 11TH,LARAMIE,WY,82072,2206,841.0,3077214420,5,Town,Non-MSA,1,Regular,3,High,10,12
560073000002,LARAMIE JUNIOR HIGH SCHOOL,1355 NORTH 22ND,LARAMIE,WY,82072,2340,787.0,3077214430,5,Town,Non-MSA,1,Regular,2,Middle,07,09
560073000003,ROCK RIVER HIGH SCHOOL,P.O. BOX 128,ROCK RIVER,WY,82083,128,60.0,3073782271,7,Rural,Non-MSA,1,Regular,3,High,09,12
560073000004,INDIAN PAINTBRUSH  ELEMENTARY,1653 N. 28TH STREET,LARAMIE,WY,82072,9200,291.0,3077214490,5,Town,Non-MSA,1,Regular,1,Primary,KG,06
560073000005,BEITEL ELEMENTARY,811 SOUTH 17TH STREET,LARAMIE,WY,82070,4215,208.0,3077214436,5,Town,Non-MSA,1,Regular,1,Primary,KG,06
560073000006,SPRING CREEK ELEMENTARY,1203 RUSSELL,LARAMIE,WY,82070,4682,287.0,3077214410,5,Town,Non-MSA,1,Regular,1,Primary,KG,06
560073000007,CENTENNIAL ELEMENTARY,P.O. BOX 326,CENTENNIAL,WY,82055,,24.0,3077459585,7,Rural,Non-MSA,1,Regular,1,Primary,KG,06
560073000011,HARMONY ELEMENTARY,"20 LEWIS ROAD, COALMONT ROUTE",LARAMIE,WY,82070,,47.0,3077455720,7,Rural,Non-MSA,1,Regular,1,Primary,KG,06
560073000014,VELMA LINFORD ELEMENTARY,120 SOUTH JOHNSON,LARAMIE,WY,82070,6458,359.0,3077214439,5,Town,Non-MSA,1,Regular,1,Primary,KG,06
560073000017,ROCK RIVER JUNIOR HIGH SCHOOL,P.O. BOX 128,ROCK RIVER,WY,82083,128,22.0,3073782271,7,Rural,Non-MSA,1,Regular,2,Middle,07,08
560073000018,RIVER BRIDGE ELEMENTARY,GARRETT ROUTE,ROCK RIVER,WY,82083,,4.0,3073782271,7,Rural,Non-MSA,1,Regular,1,Primary,KG,08
560073000020,SLADE ELEMENTARY,1212 BAKER,LARAMIE,WY,82070,,334.0,3077214446,5,Town,Non-MSA,1,Regular,1,Primary,KG,06
560073000021,TIMBER CANYON RANCH ELEMENTARY,1380 SYBILLE ROAD,WHEATLAND,WY,82201,8211,100.0,3073224715,N,Unknown,Non-MSA,1,Regular,4,Other,N,N
560073000022,THAYER ELEMENTARY,801 SOUTH 24TH STREET,LARAMIE,WY,82070,4920,223.0,3077214450,5,Town,Non-MSA,1,Regular,1,Primary,KG,06
560073000025,VALLEY VIEW ELEMENTARY,16 MANDEL LANE,LARAMIE,WY,82070,9722,9.0,3077453793,7,Rural,Non-MSA,1,Regular,1,Primary,KG,08
560073000066,WHITING HIGH SCHOOL,509 SOUTH 9TH,LARAMIE,WY,82070,,41.0,3077214449,5,Town,Non-MSA,4,Voc/Tech/Other,3,High,09,12
560073000173,SIBYLEE ELEMENTARY,3284 STATE HIGHWAY 34,WHEATLAND,WY,82201,,2.0,3073224219,7,Rural,Non-MSA,1,Regular,1,Primary,KG,08
560073000453,ROCK RIVER ELEMENTARY,P.O. BOX 128,ROCK RIVER,WY,82083,128,38.0,3073782271,7,Rural,Non-MSA,1,Regular,1,Primary,KG,06
560073000529,COZY HOLLOW ELEMENTARY,666 ALBANY COUNTY ROAD #727,ROCK RIVER,WY,82083,,3.0,3073782271,7,Rural,Non-MSA,1,Regular,1,Primary,KG,08
560073000535,UW LABORATORY SCHOOL,P.O. BOX 3374,LARAMIE,WY,82071,3374,210.0,3077662155,5,Town,Non-MSA,1,Regular,4,Other,KG,09
560096000162,ARAPAHOE ELEMENTARY,P.O. BOX 9211,ARAPAHOE,WY,82510,211,294.0,3078569333,7,Rural,Non-MSA,1,Regular,1,Primary,KG,08
560103000026,RAWLINS HIGH SCHOOL,1401 COLORADO,RAWLINS,WY,82301,4411,541.0,3073289280,6,Town,Non-MSA,4,Voc/Tech/Other,3,High,09,12
560103000028,RAWLINS MIDDLE SCHOOL,1500 HARSHMAN STREET,RAWLINS,WY,82301,4498,395.0,3073289205,6,Town,Non-MSA,1,Regular,2,Middle,06,08
560103000030,BAIROIL ELEMENTARY,P.O. BOX 27,BAIROIL,WY,82322,27,5.0,3073289215,7,Rural,Non-MSA,1,Regular,1,Primary,KG,08
560103000032,MOUNTAIN VIEW ELEMENTARY,ELEVENTH & BIRCH,RAWLINS,WY,82301,,255.0,3073289291,6,Town,Non-MSA,1,Regular,1,Primary,KG,05
560103000033,PERSHING ELEMENTARY,302 W. DAVIS STREET,RAWLINS,WY,82301,6299,155.0,3073289240,6,Town,Non-MSA,1,Regular,1,Primary,KG,05
560103000034,SINCLAIR ELEMENTARY,P.O. BOX 307,SINCLAIR,WY,82334,307,32.0,3073289293,7,Rural,Non-MSA,1,Regular,1,Primary,KG,05
560103000124,LITTLE SNAKE RIVER VALLEY SCHO,P.O. BOX 9,BAGGS,WY,82321,9,172.0,3073832185,7,Rural,Non-MSA,1,Regular,4,Other,KG,12
560103000147,COOPERATIVE SCHOOL,P.O. BOX 160,RAWLINS,WY,82301,,57.0,3073289220,6,Town,Non-MSA,4,Voc/Tech/Other,3,High,08,12
560103000408,HIGHLAND HILLS ELEMENTARY,DARNLEY & INVERNESS,RAWLINS,WY,82301,,311.0,3073289299,6,Town,Non-MSA,1,Regular,1,Primary,KG,05
560109000036,RIVERSIDE HIGH SCHOOL,P.O. BOX 151,BASIN,WY,82410,151,111.0,3075682416,7,Rural,Non-MSA,1,Regular,3,High,09,12
560109000038,LAURA IRWIN ELEMENTARY,P.O. BOX 151,BASIN,WY,82410,151,117.0,3075682488,7,Rural,Non-MSA,1,Regular,1,Primary,KG,04
560109000039,HYATTVILLE ELEMENTARY,P.O. BOX 99,HYATTVILLE,WY,82428,74,6.0,3074692350,7,Rural,Non-MSA,1,Regular,1,Primary,KG,04
560109000040,MANDERSON ELEMENTARY,P.O. BOX 97,MANDERSON,WY,82432,97,41.0,3075682846,7,Rural,Non-MSA,1,Regular,2,Middle,05,05
560109000476,CLOUD PEAK MIDDLE SCHOOL,P.O. BOX 97,MANDERSON,WY,82432,97,83.0,3075682846,7,Rural,Non-MSA,1,Regular,2,Middle,06,08
560126000041,BIG PINEY HIGH SCHOOL,650 PINEY DRIVE,BIG PINEY,WY,83113,,183.0,3072763324,7,Rural,Non-MSA,1,Regular,3,High,09,12
560126000042,BIG PINEY MIDDLE SCHOOL,510 NICHOLS STREET SOUTH,BIG PINEY,WY,83113,,170.0,3072763315,7,Rural,Non-MSA,1,Regular,2,Middle,06,08
560126000043,BIG PINEY ELEMENTARY,225 NICHOLS STREET SOUTH,BIG PINEY,WY,83113,,179.0,3072763313,7,Rural,Non-MSA,1,Regular,1,Primary,KG,05
560126000044,LA BARGE ELEMENTARY,106 PINE AVE.,LA BARGE,WY,82123,,55.0,3073862227,7,Rural,Non-MSA,1,Regular,1,Primary,KG,05
560142000046,ROCKY MOUNTAIN HIGH SCHOOL,P.O. BOX 176,BYRON,WY,82412,176,168.0,3075482723,7,Rural,Non-MSA,1,Regular,3,High,09,12
